index,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,description,mls,type,full_link,full_address,lat,long,city_district
0,"48 Denvale Rd, Toronto (E4735914) | Zoocasa",950000,899000,3 beds,2 baths,N/A sq. ft.,3 parking,"Original Detached 1 1/2 Storey House Located In Prestigious Upscale Parkview Hills! Best Kept East York Secrets! Family Oriented Pocket, Close To City And Amenities! Freshly Painted & Cleaned! Generous Lot 40X1110 Ft! Build Custom Home Or Renovate! Walk To Nature Trails",E4735914,Detached,https://www.zoocasa.com/toronto-on-real-estate/6776871-48-denvale-rd-toronto-on-m4b3b7-vow,"48 Denvale Rd, Toronto , Ontario, Canada",43.7069612,-79.3188707,
1,"8 Hornell St, Toronto (W4734836) | Zoocasa",732000,599999,3 + 1 beds,3 baths,1100–1500 sq. ft.,3 parking,"Perfect Condo Alternative Without The Maintenance Fees! 1.5 Storey Charming Detached In Highly Sought After Area. Gourmet Kitchen W/ Full Size Appliances, Kitchen Bar, Formal Dining Area Can Be Converted To 3rd Bedroom On Main Level. Major Renovations Completed 2011 (Electrical, Plumbing, Windows, Siding, Insulation, Etc. All '11). Separate Entrance To Basement Perfect For In-Law/Nanny Or Income $$$. Smooth Ceilings + Potlights Throughout! A Must See!",W4734836,Detached,https://www.zoocasa.com/toronto-on-real-estate/6773571-8-hornell-st-toronto-on-m8z1x2-vow,"8 Hornell St, Toronto , Ontario, Canada",43.6269833,-79.503616,
2,"3101 - 14 York St, Toronto (C4721643) | Zoocasa",499000,499000,0 + 1 beds,1 baths,0-499 sq. ft.,no parking,"Very Rare Unit In High Rise Luxury! Heart Of The City At York And 'Raptors Way'! Very Modern And Bright Unit With Floor To Ceiling Windows. Spotless Kitchen With Stainless Steel Appliances, Granite Countertops And Undermount Sink. Walk To Scotiabank Arena, Cn Tower, Rogers Centre, Union Station And More. Path Access To The Whole City! 24 Hour Concierge! Amazing Amenities Include Swimming Pool, Fitness Centre And Relaxation Lounge. Must See.",C4721643,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6744028-3101-14-york-st-toronto-on-m5j0b1-vow," 14 York St, Toronto , Ontario, Canada",43.6418503,-79.3822455,
3,"7 Hathway Dr, Toronto (E4732993) | Zoocasa",870000,799800,3 + 2 beds,2 baths,N/A sq. ft.,2 parking,"Excellent Location!! Tastefully Renovated Home. Completed Kitchen W/ Quartz Counters, S/S App & Porcelain Title, Finished Bsmt, With Sep Entrance, 2 Bedrooms & M/Washrooms, Pot Lights Throughout, Window(2Yr) Open Concept Living Space& Etc. Close To Schools, Shopping, Hospital, Ttc, Hwy 401 & M/More. * Quiet Street* This House Is A Dream! Nothing To Do But Move In!!",E4732993,Detached,https://www.zoocasa.com/toronto-on-real-estate/6769917-7-hathway-dr-toronto-on-m1p4l4-vow,"7 Hathway Dr, Toronto , Ontario, Canada",43.7665941,-79.2564576,
4,"335 Burnhamthorpe Rd, Toronto (W4697183) | Zoocasa",1450000,1549000,4 + 2 beds,4 baths,N/A sq. ft.,5 parking,"Stunning+Unique Etobicoke Custom Built Beauty Offering Exceptional Design+Craftsmanship.This 4+Bdrm,2-Storey Home Has Perfect Layout*Sep Formal+Din Area W/Built-Ins,Gourmet Style Kit W/17'Ft Ceiling In Bf Area Open To Upper Floor*Massive Formal+Exec Den W/Coffered Ceilings,Architectural Mldng+Millwork+ Framed F/Place Integrates Right Amount Of Ambiance+Sophistication Ideal For Prof Working From Home+Sunken Master Retreat W/O To Upper Deck-A Perfect Dream Home",W4697183,Detached,https://www.zoocasa.com/toronto-on-real-estate/6686940-335-burnhamthorpe-rd-toronto-on-m9b2a2-vow,"335 Burnhamthorpe Rd, Toronto , Ontario, Canada",43.6486757,-79.5506411,
5,"130 - 525 Wilson Ave S, Toronto (C4731924) | Zoocasa",560000,569900,1 + 1 beds,1 baths,600–699 sq. ft.,1 parking,"If You Love Being Outdoors This Bright Open Concept Luxurious Unit For You. Featuring A 220 Sqft Courtyard Facing Patio With A Natural Fence, 9 Ft Ceilings With Floor To Ceiling Windows. Rare Spacious Walk In Closet In The Master Bedroom, Functional Kitchen With Lots Of Storage Space. Building Includes Low Maint Fee And Great Amenities (Indoor Pool With Hot Tub/Gym/Party Room/Cinema-Room). In A Much Desired Area Walking Distance To Ttc, Close To Shopping",C4731924,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6767305-130-525-wilson-ave-s-toronto-on-m3h1v1-vow," 525 Wilson Ave S, Toronto , Ontario, Canada",43.7337589,-79.4461486,
6,"200 - 28 Pemberton Ave, Toronto (C4728826) | Zoocasa",569800,599000,2 beds,2 baths,900–999 sq. ft.,1 parking,"*Spacious Corner Unit At Yonge & Finch *Direct Underground Access To Finch Subway *Yrt & Go Buses *School District Of Earl Haig *Walking Distance To Parks, Restaurants, Shopping & Supermarkets *Well Maintained Building*1 Parking *1 Locker *2 Full Bathrooms *Balcony *Freshly Painted * Open Concept, Renovated Kitchen And Bathroom. Management Fee - All Inclusive!! - Rare Find!!",C4728826,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6760445-200-28-pemberton-ave-toronto-on-m2m4l1-vow," 28 Pemberton Ave, Toronto , Ontario, Canada",43.7820905,-79.4132302,
7,"22 - 593 Kennedy Rd E, Toronto (E4724715) | Zoocasa",570000,499900,3 beds,2 baths,1000–1199 sq. ft.,2 parking,"Largest Unit In The Complex! Oversized Master Bedroom. Immaculate 2 Story Townhome. Large Private Balcony Perfect For Entertaining. 2 Exclusive Parking Spaces. Very Close To The Upcoming Eglinton Transit Line. Steps To The Nearest Bus Stop, Kennedy Ttc & Go. Quick Drive To Scarborough Go & Warden Ttc. Perfect For A Starter Family Or Investor! Very Close To The Toronto Downtown Core. A Must See!",E4724715,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6750753-22-593-kennedy-rd-e-toronto-on-m1k2b2-vow," 593 Kennedy Rd E, Toronto , Ontario, Canada",43.7242478,-79.2641875,
8,"535 - 18 Mondeo Dr, Toronto (E4730563) | Zoocasa",543000,499000,2 beds,2 baths,800–899 sq. ft.,1 parking,"Absolutely Stunning 2 Bdrm, 2 Bthrm Unit In One Of The Most Sought After Buildings In The Area. Bright Living Spaces, Luxurious Gallery Kitchen W/S/S Appliances, Large Bdrms, W/O To Private Balcony With Stunning View Extends The Living Space Outdoors. Great Maintenance Fees With A Full Suite Of Recreational Amenities: Indoor Pool, Exercise Room, Party Room, Sauna, Billiard Room, Virtual Golf, Theater, Bbq Area, Guest Suite, 24 Hrs, Concierge. A Must See!",E4730563,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6764081-535-18-mondeo-dr-toronto-on-m1p5c8-vow," 18 Mondeo Dr, Toronto , Ontario, Canada",43.7644378,-79.2887569,
9,"106 Elmer Ave, Toronto (E4734956) | Zoocasa",1025000,949900,4 beds,2 baths,N/A sq. ft.,1 parking,"Prime Beach Charm! Oversized 4 Bedroom Semi. Well Maintained By Long Time Owners. Spacious Principal Rooms & Main Floor Sun Room Addition W/Walk-Out To Back Deck, Wood Burning Brick Fireplace, Plate Rail In Formal Dining Room, 2 Bathrooms, Finished Basement W/Separate Entrance. Steps To Kew Beach School, Queen Street, Ttc, Boardwalk & Beaches Recreational Centre.",E4734956,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6773389-106-elmer-ave-toronto-on-m4l3r8-vow,"106 Elmer Ave, Toronto , Ontario, Canada",43.6730734,-79.3052316,
