index,sqft,mean_district_income,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Plex,type_Semi-Detached
1,1300.0,64140,732000,0,0,0,0,0,1,0,0
2,250.0,70600,499000,0,0,0,1,0,0,0,0
5,650.0,51181,560000,0,0,0,1,0,0,0,0
6,950.0,45212,569800,0,0,0,1,0,0,0,0
7,1100.0,30974,570000,0,0,0,0,1,0,0,0
8,850.0,31692,543000,0,0,0,1,0,0,0,0
10,1300.0,29958,780000,0,0,0,0,0,0,0,1
12,1900.0,40442,750000,0,0,0,0,1,0,0,0
13,650.0,56526,926000,0,0,0,1,0,0,0,0
15,900.0,54360,740000,0,0,0,0,0,1,0,0
17,1750.0,89330,1235000,0,0,0,0,0,0,0,1
20,2750.0,71204,1800000,0,0,0,0,0,1,0,0
22,850.0,57039,705000,0,0,0,1,0,0,0,0
25,4250.0,52787,1722500,0,0,0,0,0,1,0,0
27,950.0,31825,590000,0,0,1,0,0,0,0,0
28,550.0,70600,525000,0,0,0,1,0,0,0,0
29,1500.0,31771,420000,0,0,0,1,0,0,0,0
30,1500.0,31826,680000,0,0,0,0,1,0,0,0
33,1750.0,44718,825000,0,0,0,0,0,1,0,0
35,850.0,32997,500000,0,0,0,0,1,0,0,0
37,1750.0,70623,1010000,1,0,0,0,0,0,0,0
43,850.0,57039,792000,0,0,0,1,0,0,0,0
44,750.0,34168,330000,0,0,0,1,0,0,0,0
45,950.0,37379,428888,0,0,0,1,0,0,0,0
46,1100.0,30414,526000,0,0,0,1,0,0,0,0
48,550.0,56526,563000,0,0,0,1,0,0,0,0
50,850.0,31692,360000,0,0,0,1,0,0,0,0
52,550.0,70600,574999,0,0,0,1,0,0,0,0
53,850.0,70600,920000,0,0,0,1,0,0,0,0
54,850.0,34168,540000,0,0,0,0,1,0,0,0
55,650.0,38527,570000,0,0,0,1,0,0,0,0
56,1300.0,34168,836000,0,0,0,0,0,1,0,0
58,2250.0,57039,1865000,0,0,0,0,0,0,0,1
59,950.0,39556,442000,0,0,0,1,0,0,0,0
60,1100.0,36674,370000,0,0,0,1,0,0,0,0
61,1300.0,70600,1068000,0,0,0,1,0,0,0,0
62,850.0,33256,600000,0,0,0,1,0,0,0,0
63,250.0,70600,437510,0,0,0,1,0,0,0,0
64,950.0,70600,765000,0,0,0,1,0,0,0,0
65,2250.0,73253,2175000,0,0,0,0,0,1,0,0
66,3250.0,72371,2088000,0,0,0,0,0,1,0,0
67,4250.0,169203,3195000,0,0,0,0,0,1,0,0
68,2250.0,53803,1500000,0,0,0,0,0,0,0,1
70,850.0,45326,692000,0,0,0,1,0,0,0,0
71,750.0,70600,810000,0,0,0,1,0,0,0,0
72,1100.0,112766,950000,0,0,0,1,0,0,0,0
74,650.0,70600,700000,0,0,1,0,0,0,0,0
82,950.0,33323,347000,0,0,0,1,0,0,0,0
88,1300.0,37108,965000,0,0,0,0,0,1,0,0
89,1300.0,111730,1250000,0,0,0,0,0,0,0,1
91,1100.0,123077,750000,0,0,0,1,0,0,0,0
92,1300.0,56526,857000,0,0,0,1,0,0,0,0
95,550.0,45326,568000,0,0,0,1,0,0,0,0
96,850.0,70600,840000,0,0,0,1,0,0,0,0
