index,sqft,mean_district_income,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Plex,type_Semi-Detached
1,1300.0,64140.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,250.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,650.0,51181.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,950.0,45212.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1100.0,30974.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,850.0,31692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1300.0,29958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1900.0,40442.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,650.0,56526.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,900.0,54360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,1750.0,89330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,2750.0,71204.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,850.0,57039.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,4250.0,52787.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,950.0,31825.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,550.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,1500.0,31771.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,1500.0,31826.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,1750.0,44718.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,850.0,32997.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,1750.0,70623.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,850.0,57039.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,750.0,34168.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,950.0,37379.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,1100.0,30414.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,550.0,56526.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,850.0,31692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,550.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,850.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,850.0,34168.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,650.0,38527.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,1300.0,34168.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,2250.0,57039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,950.0,39556.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,1100.0,36674.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,1300.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,850.0,33256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,250.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,950.0,70600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
